,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,65535,-660.8262636810646,998.9823459341786,758.0,980.0,180.18479494216376,114.82310874999999,13,10,0.0,120.0,120.0,0.0,tall,13.0,50.0
1,8e-06,65535,5857.610503946785,8429.149323584385,,,-344.22961288367566,,,,,,,,,,
2,1.6e-05,65535,8123.242917532747,17906.861480215353,,,154.3234732789776,,,,,,,,,,
3,2.5e-05,1040,-26055.01970811483,26055.02618212006,,,215.2047444189779,,,,,,,,,,
4,3.3e-05,65535,17004.16903303276,33187.233963957704,,,-380.42439571454435,,,,,,,,,,
5,4.1e-05,65535,19023.93023973195,39157.578816217574,,,159.70598153264382,,,,,,,,,,
6,4.9e-05,1104,-42894.57983407954,42895.84483823533,,,224.69130062819406,,,,,,,,,,
7,5.7e-05,65535,22894.72841776219,45274.689260199404,,,-380.24917965577055,,,,,,,,,,
8,6.6e-05,65535,23228.952852782513,46767.74896685495,,,155.21601886837036,,,,,,,,,,
9,7.4e-05,1104,-46631.96373616774,46633.85814618165,,,214.59793591575286,,,,,,,,,,
10,8.2e-05,65535,23926.528612601876,45056.57039482232,,,-360.1048126942973,,,,,,,,,,
11,9e-05,65535,18302.7147312788,42255.09037279284,,,148.8651736639436,,,,,,,,,,
12,9.8e-05,1088,-37712.16951364373,38033.52529746737,,,199.78178905275618,,,,,,,,,,
13,0.000106,65535,22403.833364735496,33208.02380104272,,,-341.1837757223083,,,,,,,,,,
14,0.000115,65535,5146.745118381214,28506.741477046602,,,139.69240419027128,,,,,,,,,,
15,0.000123,1040,-20833.88792138873,24207.439950040603,,,200.26043076849396,,,,,,,,,,
16,0.000131,65535,20933.290752289853,21482.950423007682,,,-330.77235489535127,,,,,,,,,,
17,0.000139,1056,-12387.551405440025,21060.127447100156,,,112.82581087774719,,,,,,,,,,
18,0.000147,56285,-2481.4929678684207,22820.321612882115,,,223.67933306411246,,,,,,,,,,
19,0.000156,65535,21070.73649357603,26314.11949473518,,,-311.3941745065929,,,,,,,,,,
20,0.000164,1040,-29328.135634596063,30358.635336014737,,,54.15253051642771,,,,,,,,,,
21,0.000172,65535,11976.657723358765,34459.16258173235,,,250.94104673324244,,,,,,,,,,
22,0.00018,65535,22875.434480613043,38485.246292873904,,,-254.6102294276663,,,,,,,,,,
23,0.000188,1072,-41841.36835538901,41975.44201645662,,,-28.286265425863476,,,,,,,,,,
24,0.000197,65535,20181.62727250474,44851.53215579651,,,245.11541466472437,,,,,,,,,,
25,0.000205,65535,25374.462276211554,47133.250437822615,,,-150.19998415373576,,,,,,,,,,
26,0.000213,1040,-48609.06425271013,48652.88202026758,,,-100.77682709519857,,,,,,,,,,
27,0.000221,64303,22910.130221982203,49651.965890770196,,,180.69878798661,,,,,,,,,,
28,0.000229,65535,27319.410964298822,50370.60124272856,,,-22.459348506012198,,,,,,,,,,
29,0.000238,1040,-50606.270648573416,50685.22869404175,,,-125.8444198519268,,,,,,,,,,
30,0.000246,61374,22781.36846563049,50665.5542267494,,,67.1080527192369,,,,,,,,,,
31,0.000254,65535,27610.314652767578,50391.37848281217,,,83.47787593831838,,,,,,,,,,
32,0.000262,1040,-49683.309610440076,49753.75451235777,,,-90.48137266264831,,,,,,,,,,
33,0.00027,65535,22556.47101105197,48933.779455300595,,,-55.6681857328802,,,,,,,,,,
34,0.000279,65535,25315.611023929705,48092.49143311439,,,133.26568014499512,,,,,,,,,,
35,0.000287,1040,-47079.251355212764,47081.337969234104,,,-15.347364362982999,,,,,,,,,,
36,0.000295,65535,23905.349232683573,45923.130953163694,,,-145.07452874294253,,,,,,,,,,
37,0.000303,65535,19697.540905619015,44646.07679202054,,,125.27394673008325,,,,,,,,,,
38,0.000311,1040,-42825.73818993441,43128.44021647595,,,62.197900774723806,,,,,,,,,,
39,0.000319,65535,26936.065113860426,41530.8979447218,,,-183.60196666400833,,,,,,,,,,
40,0.000328,65535,10598.519416809202,39985.85657649779,,,85.08675445002676,,,,,,,,,,
41,0.000336,1072,-36207.84564299658,38411.07415790532,,,117.38469230105062,,,,,,,,,,
42,0.000344,65535,30320.42438571141,36915.15628768765,,,-184.15340439705068,,,,,,,,,,
43,0.000352,48763,-955.0654262520056,35508.36863505518,,,35.43374917369964,,,,,,,,,,
44,0.00036,1024,-26704.53068123353,34085.78642015344,,,158.4845094344312,,,,,,,,,,
45,0.000369,65535,31783.381698414803,32785.85229296627,,,-166.06988480938355,,,,,,,,,,
46,0.000377,23429,-12513.286132386265,31592.915102022685,,,-40.45155418993952,,,,,,,,,,
47,0.000385,1168,-14659.68585266806,30405.33712127872,,,219.8670033860414,,,,,,,,,,
48,0.000393,65535,28884.815165761236,29277.115253978318,,,-110.11412763201548,,,,,,,,,,
49,0.000401,1040,-20817.254344625402,28051.99740549648,,,-214.27472332639928,,,,,,,,,,
50,0.00041,33032,-1336.4668330456725,26640.202574607396,,,318.3279461028776,,,,,,,,,,
51,0.000418,65535,20051.0469836237,25163.929641105708,,,80.4329484688436,,,,,,,,,,
52,0.000426,1056,-23143.402497262665,23640.038535785086,,,-579.3346602481018,,,,,,,,,,
53,0.000434,65535,11455.999306839789,22316.340009194806,,,389.4112344584879,,,,,,,,,,
54,0.000442,65535,5577.463386653927,21549.830658100174,,,572.088826675564,,,,,,,,,,
55,0.000451,1072,-18605.53827885268,21518.187522748016,,,-1169.503733567416,,,,,,,,,,
