,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,45563,765.4775810814455,14335.322259625558,479.0,702.0,-104.75648283929164,77.206213,9,5,-40.0,70.0,80.62257748298549,-29.74488129694222,tall,13.0,50.0
1,8e-06,65535,22153.456078554944,27325.304250468624,,,355.0534663984973,,,,,,,,,,
2,1.6e-05,1008,-31336.39916894507,32822.91168101791,,,-155.79331935429425,,,,,,,,,,
3,2.5e-05,65535,15909.309053238076,36433.01590250057,,,-137.78399220060555,,,,,,,,,,
4,3.3e-05,52060,17931.71836124286,40228.21204690144,,,145.93946103936165,,,,,,,,,,
5,4.1e-05,1024,-40877.38470320786,41107.356281377004,,,57.20774277571626,,,,,,,,,,
6,4.9e-05,65535,25230.509425282577,42224.31589872484,,,-125.55997719454074,,,,,,,,,,
7,5.7e-05,62879,19252.14564937006,44960.068374937924,,,-47.744701993323034,,,,,,,,,,
8,6.6e-05,1024,-47061.029498243784,47108.788300729575,,,204.29094540676414,,,,,,,,,,
9,7.4e-05,65535,25811.468475881215,48288.92245475875,,,-101.33955009382629,,,,,,,,,,
10,8.2e-05,65535,22954.37070997397,48101.56895055597,,,-157.69480463664465,,,,,,,,,,
11,9e-05,1040,-45564.781292879445,45568.68279613926,,,267.78577615477536,,,,,,,,,,
12,9.8e-05,65535,18701.272888488293,42251.05830714353,,,-103.13225162905125,,,,,,,,,,
13,0.000107,65535,24090.161563104317,39315.78196100726,,,-160.44944287761228,,,,,,,,,,
14,0.000115,1024,-34962.14613613483,35721.221667280435,,,270.96498998625293,,,,,,,,,,
15,0.000123,65535,8474.89425572035,31085.914260755842,,,-147.21307593594875,,,,,,,,,,
16,0.000131,65535,18468.961446627964,25544.53479702931,,,-93.49195283210138,,,,,,,,,,
17,0.000139,1056,-17664.285096315558,18802.36487291941,,,257.3580301750358,,,,,,,,,,
18,0.000147,37481,1039.9463181334236,11821.796663016197,,,-206.4469568888022,,,,,,,,,,
19,0.000156,65535,4952.302493259119,5541.36051294392,,,-33.969806414600015,,,,,,,,,,
20,0.000164,65535,1081.0366975749328,1088.4712048266963,,,251.95535763863884,,,,,,,,,,
21,0.000172,11890,590.5317517845026,7703.757463370267,,,-218.6919467585485,,,,,,,,,,
22,0.00018,1056,-13776.438478626322,14630.569637410075,,,-43.70263595066931,,,,,,,,,,
23,0.000188,65535,15845.390377176887,21560.551610560502,,,237.10811370375765,,,,,,,,,,
24,0.000197,65535,7352.850339849723,27988.22242371676,,,-132.51378828357846,,,,,,,,,,
25,0.000205,1056,-32573.88573847721,33278.38059727129,,,-119.22650255007605,,,,,,,,,,
26,0.000213,65535,23818.82196399869,37999.94470512738,,,170.95338703841526,,,,,,,,,,
27,0.000221,65535,17579.851743887135,42576.25709291742,,,40.40167660613434,,,,,,,,,,
28,0.000229,1040,-46465.86594665753,46527.49005453248,,,-192.00374458650222,,,,,,,,,,
29,0.000238,65535,25879.840209403377,49686.596673714135,,,37.53159632170847,,,,,,,,,,
30,0.000246,65535,25735.574881719735,51878.79035758521,,,214.9317026166549,,,,,,,,,,
31,0.000254,1072,-52725.79219590854,52729.94883017998,,,-185.23923683037683,,,,,,,,,,
32,0.000262,65535,25356.83716210376,52737.81460751165,,,-117.93792324705151,,,,,,,,,,
33,0.00027,65535,27310.157459076047,52366.73708937275,,,284.35685500848,,,,,,,,,,
34,0.000279,1056,-51293.095731469024,51298.55445101897,,,-82.41734879446727,,,,,,,,,,
35,0.000287,65535,25607.014495141946,49564.28680423319,,,-207.85289332631848,,,,,,,,,,
36,0.000295,65535,20688.909354800748,47269.92742730788,,,200.42060128956223,,,,,,,,,,
37,0.000303,1088,-43867.166549812195,44282.8924682766,,,51.268090834836244,,,,,,,,,,
38,0.000311,65535,28032.255754627542,41216.1012357851,,,-167.56186233240987,,,,,,,,,,
39,0.00032,56285,7513.706825350513,38591.81159692326,,,18.3723386402013,,,,,,,,,,
40,0.000328,1152,-32693.266747002086,36355.201747661216,,,116.01792933607703,,,,,,,,,,
41,0.000336,65535,31468.20867599484,34823.236162989706,,,-15.570800620412163,,,,,,,,,,
42,0.000344,32663,-8182.977439523571,33912.48813779326,,,-133.66879478744536,,,,,,,,,,
43,0.000352,1152,-19767.091591436452,33250.31257927172,,,57.074302941785774,,,,,,,,,,
44,0.00036,65535,32965.43792850154,33003.42964555352,,,145.4159353374528,,,,,,,,,,
45,0.000369,8914,-21525.712024662018,32912.493774125476,,,-142.8694076783768,,,,,,,,,,
46,0.000377,14979,-6599.638296290501,32750.18342513604,,,-88.47753045372106,,,,,,,,,,
47,0.000385,65535,29410.73034397145,32614.759686647445,,,194.9222913700556,,,,,,,,,,
48,0.000393,1040,-28496.75684598486,32062.07516032798,,,8.29574044304661,,,,,,,,,,
49,0.000401,44058,5651.765164482506,30905.69619621082,,,-216.4473681408419,,,,,,,,,,
50,0.00041,65535,19240.2431056986,29330.401708996982,,,80.62654298830203,,,,,,,,,,
51,0.000418,1008,-27265.231920092432,27278.114997823162,,,228.8051458207955,,,,,,,,,,
52,0.000426,65535,15906.772127979833,25224.386048198678,,,-231.14427229646205,,,,,,,,,,
53,0.000434,63983,3518.299815993601,23715.761235359343,,,-139.09204993500913,,,,,,,,,,
54,0.000442,1120,-18635.695957679964,22894.446628561083,,,377.153055046223,,,,,,,,,,
55,0.000451,65535,22906.36425571103,23206.847865087315,,,-114.49155035264833,,,,,,,,,,
56,0.000459,1024,-14169.845503938352,24549.519144139806,,,-321.4640174639055,,,,,,,,,,
57,0.000467,50876,-5362.241765238179,26501.971341436303,,,345.4396099135199,,,,,,,,,,
58,0.000475,65535,25205.201117561297,28929.207823994813,,,54.068165377259,,,,,,,,,,
59,0.000483,1040,-29146.480114598544,31361.174847522158,,,-309.89384137113007,,,,,,,,,,
60,0.000492,65535,9312.44850977017,33664.246407003666,,,119.30865166059932,,,,,,,,,,
