,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,65535,812.7521884603871,11155.007780676477,660.0,882.0,276.1212878587906,101.43882000000002,9,8,-40.0,100.0,107.70329614269008,-21.80140948635181,tall,13.0,50.0
1,8e-06,65535,16371.809732038624,21464.065613003313,,,107.36772088722368,,,,,,,,,,
2,1.6e-05,960,-26494.802033657685,26929.64297466514,,,-358.0297136356266,,,,,,,,,,
3,2.5e-05,65535,17376.950240750706,31746.33810662501,,,183.9465532136377,,,,,,,,,,
4,3.3e-05,41194,12237.745953048217,36424.581393052045,,,164.6397851317871,,,,,,,,,,
5,4.1e-05,928,-37595.52178930229,38547.78300618024,,,-253.28271730590447,,,,,,,,,,
6,4.9e-05,65535,27606.60345881202,40588.45661068523,,,35.59404557726439,,,,,,,,,,
7,5.7e-05,51756,14630.835222775935,43553.30505758978,,,137.99416911699498,,,,,,,,,,
8,6.6e-05,928,-45532.90055772797,45962.6467001594,,,-44.01690923241008,,,,,,,,,,
9,7.4e-05,65535,28375.494111061536,47481.78710102787,,,-115.93980530400363,,,,,,,,,,
10,8.2e-05,65247,19980.66226599224,47582.67599208153,,,43.76897518814893,,,,,,,,,,
11,9e-05,1008,-45504.22554580896,45549.77855726779,,,193.6745377288948,,,,,,,,,,
12,9.8e-05,65535,20850.296195368057,42640.68305330645,,,-234.092571196597,,,,,,,,,,
13,0.000107,65535,22761.529119452618,39775.52832962964,,,-68.64108433958296,,,,,,,,,,
14,0.000115,1008,-35787.479640749356,36234.325698329616,,,391.71874599649294,,,,,,,,,,
15,0.000123,65535,9937.351742205523,31712.646375495893,,,-310.9655375288655,,,,,,,,,,
16,0.000131,65535,18286.654804098238,26242.80872679526,,,-157.48603171923702,,,,,,,,,,
17,0.000139,1008,-18732.19099056991,19650.185687757607,,,519.9423844555638,,,,,,,,,,
18,0.000148,51436,1888.6469126110815,12739.324984220184,,,-347.50620359595524,,,,,,,,,,
19,0.000156,65535,5181.9107171112555,6244.660941465764,,,-216.29279282792652,,,,,,,,,,
20,0.000164,65535,288.8380641729612,353.94909493334677,,,576.2544778361286,,,,,,,,,,
21,0.000172,1824,1083.3927634785243,7379.079369518987,,,-331.22162099740285,,,,,,,,,,
22,0.00018,1056,-13773.123111998955,14501.055336809159,,,-263.5189332660538,,,,,,,,,,
23,0.000188,65535,15620.15945843477,21572.613373770084,,,559.1374699100857,,,,,,,,,,
24,0.000197,65535,7684.390473956941,28152.42371437801,,,-240.37696171917227,,,,,,,,,,
