,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,65535,546.5163255576867,10032.920783366959,1210.0,1433.0,3.9740149399993996,177.37704775,10,16,-30.0,180.0,182.4828759089466,-9.462322208025617,tall,13.0,50.0
1,8e-06,46139,-20301.614658792703,20526.39905167695,,,-275.8516456893581,,,,,,,,,,
2,1.6e-05,26310,9400.928063168496,24917.192905256266,,,284.7924276088212,,,,,,,,,,
3,2.5e-05,65535,18660.8332185168,25131.6652990516,,,37.21954745826624,,,,,,,,,,
4,3.3e-05,1024,-23858.354570265612,26758.32800998016,,,-349.38700446174704,,,,,,,,,,
5,4.1e-05,40777,-4700.453609898852,29647.316251329878,,,281.84265733220326,,,,,,,,,,
6,4.9e-05,65535,31204.405469156405,31782.939831302363,,,101.38007257178866,,,,,,,,,,
7,5.7e-05,1056,-19436.751567448,33787.20735752299,,,-362.4778354409059,,,,,,,,,,
8,6.6e-05,30151,-18167.76670883719,35415.70401080836,,,213.42563159345693,,,,,,,,,,
9,7.4e-05,65535,34966.58228780175,35274.32351270347,,,151.75599231258605,,,,,,,,,,
10,8.2e-05,15699,-9889.530410928435,34582.38612908671,,,-312.0904575035245,,,,,,,,,,
11,9e-05,16772,-25990.29741173337,34281.955451686226,,,119.038401703521,,,,,,,,,,
12,9.8e-05,65535,29952.619786681964,33066.31320832074,,,166.7055972106726,,,,,,,,,,
13,0.000107,32295,-578.8467179105659,30762.046009603986,,,-221.3618478897822,,,,,,,,,,
14,0.000115,2624,-24772.714318108843,28006.413054157485,,,31.17852113826221,,,,,,,,,,
15,0.000123,65535,19606.716942229945,24253.529042798356,,,142.43970349702283,,,,,,,,,,
16,0.000131,57213,2849.497443579736,19837.26545586008,,,-112.44691764095242,,,,,,,,,,
17,0.000139,1008,-14467.544983114281,15633.024796152058,,,-27.636280317223687,,,,,,,,,,
18,0.000147,65535,9346.061872427877,11091.902036894853,,,75.76927757644314,,,,,,,,,,
19,0.000156,65535,-2592.1921011795644,6933.381173752182,,,-5.065980672336931,,,,,,,,,,
20,0.000164,65535,1326.2518603232027,6866.699366670714,,,-33.863107527126715,,,,,,,,,,
21,0.000172,1040,3678.817800209226,10756.37622058686,,,-29.457796463472746,,,,,,,,,,
22,0.00018,4801,-15295.498618778003,16264.316607735971,,,68.5772983722556,,,,,,,,,,
23,0.000188,65535,17154.667855767966,21778.952716726955,,,27.40829855781628,,,,,,,,,,
24,0.000197,51292,3523.2712916127234,26954.96816762958,,,-139.9208908089585,,,,,,,,,,
25,0.000205,1024,-29680.21415206148,32088.064091623753,,,70.28698824625707,,,,,,,,,,
26,0.000213,65535,28634.870947411226,36468.31325225263,,,135.34093851681843,,,,,,,,,,
27,0.000221,55229,5725.584388896546,39755.7192319273,,,-195.75562727829012,,,,,,,,,,
28,0.000229,1024,-39182.90495260187,42244.3370327078,,,-11.138095657771466,,,,,,,,,,
29,0.000238,65535,34420.37057706626,43601.29878158915,,,229.58588058833286,,,,,,,,,,
30,0.000246,49308,5280.8516616685165,43902.459898243265,,,-150.77234004682646,,,,,,,,,,
31,0.000254,1024,-39583.7579025682,43643.51382013246,,,-140.06275670313383,,,,,,,,,,
32,0.000262,65535,35905.91495848073,42536.5310580801,,,247.92183516645738,,,,,,,,,,
33,0.00027,35480,-1327.6017578121337,40680.43043001526,,,-9.513740643853136,,,,,,,,,,
