,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,65535,-585.6583143301018,1058.240942117666,413.0,636.0,-40.173016568290684,67.48499275,10,5,-30.0,70.0,76.15773105863909,-23.198590513648185,tall,13.0,50.0
1,8e-06,65535,6073.147051910345,8485.697781992547,,,592.1290355311173,,,,,,,,,,
2,1.6e-05,65535,7879.235802244193,17922.46071625332,,,-603.4505268879474,,,,,,,,,,
3,2.5e-05,1024,-26017.089049018472,26018.063166587483,,,231.05087118828553,,,,,,,,,,
4,3.3e-05,65535,17114.858583279594,33121.49243910969,,,161.07377285390686,,,,,,,,,,
5,4.1e-05,65535,18922.18750890691,39075.24426446232,,,-340.26285109166787,,,,,,,,,,
6,4.9e-05,1024,-42789.823001419994,42790.907674967195,,,324.05218257559363,,,,,,,,,,
7,5.7e-05,65535,22730.033531138186,45125.362581815316,,,-230.7739626295283,,,,,,,,,,
8,6.6e-05,65535,23274.678851325567,46542.87691360308,,,71.35690076457496,,,,,,,,,,
9,7.4e-05,1024,-46302.46972728109,46302.72193011195,,,223.05658800375474,,,,,,,,,,
10,8.2e-05,65535,23396.46430868663,44599.34260928175,,,-542.5468158591744,,,,,,,,,,
11,9e-05,65535,18396.432205534857,41665.11304801279,,,526.3148773098495,,,,,,,,,,
12,9.8e-05,1040,-37037.687722344934,37304.09408273954,,,34.32830831205749,,,,,,,,,,
13,0.000106,65535,21575.64758735881,32329.655226011084,,,-743.1101426208008,,,,,,,,,,
14,0.000115,65535,5111.005804449012,27485.625233868046,,,841.3611709630242,,,,,,,,,,
15,0.000123,1040,-19801.81571171005,23092.627763098473,,,-90.92966946499085,,,,,,,,,,
16,0.000131,65535,20031.936936130027,20433.82362422667,,,-783.3156907389395,,,,,,,,,,
17,0.000139,1072,-12746.62536824583,20319.175091354624,,,841.9121848877613,,,,,,,,,,
18,0.000147,65535,-1191.854524203434,22544.516553960395,,,-66.72532083822928,,,,,,,,,,
19,0.000156,65535,20384.32492093676,26485.33238490544,,,-605.7721612632116,,,,,,,,,,
20,0.000164,1040,-30144.8578107174,30886.71964157276,,,476.54475499956874,,,,,,,,,,
21,0.000172,65535,13375.718752151613,35273.077890221146,,,69.03634327964906,,,,,,,,,,
22,0.00018,65535,22603.61352364052,39523.5975279942,,,-206.8098479372016,,,,,,,,,,
23,0.000188,1088,-43120.70548806369,43191.02836381572,,,-124.38814311847388,,,,,,,,,,
24,0.000197,65535,21577.324899543317,46210.974309232384,,,199.97593837858895,,,,,,,,,,
