Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
0,0.0,65535,-351.955131463641,2859.658045900148,785.0,962.0,181.31680201674425,117.218192,tall,11.0,10.0,-9.462322208025617,-20.0,120.0,121.6552506059644,13.0,50.0
1,8e-06,65535,9287.806048426464,10194.347022527149,,,-188.0255117979316,,,,,,,,,,
2,1.6e-05,65535,5031.944703799064,18934.18561818336,,,27.461384023714224,,,,,,,,,,
3,2.5e-05,1072,-25964.251823878647,26106.27753231269,,,129.20165328464782,,,,,,,,,,
4,3.3e-05,65535,18093.852460112223,32852.98510848429,,,-147.44542791075773,,,,,,,,,,
5,4.1e-05,65535,19185.425811731835,38995.84935486838,,,47.788154148352646,,,,,,,,,,
6,4.9e-05,1056,-42812.64573080322,42852.12937357254,,,56.5961331456208,,,,,,,,,,
7,5.7e-05,65535,19592.8591685878,45305.11267561465,,,-89.2294710829061,,,,,,,,,,
8,6.6e-05,65535,27861.13625563664,46876.16465372766,,,56.727997520680034,,,,,,,,,,
9,7.4e-05,1072,-45999.22034636781,46512.63541748667,,,-4.401391915840717,,,,,,,,,,
10,8.2e-05,65535,15546.837909253523,44523.76094477631,,,-31.80167583946436,,,,,,,,,,
11,9e-05,65535,26822.847776893148,41365.058545704094,,,37.982017009490335,,,,,,,,,,
12,9.8e-05,1072,-35835.88373006366,36536.37234309667,,,-23.478415785779596,,,,,,,,,,
13,0.000106,65535,10065.022390455715,30619.193695161222,,,14.05436949903357,,,,,,,,,,
14,0.000115,65535,15312.66542109652,24312.014688804786,,,-19.30210427874991,,,,,,,,,,
15,0.000123,1056,-17345.02775768279,17390.49780806891,,,8.158193171564683,,,,,,,,,,
16,0.000131,1072,7309.113140404553,10823.622649821496,,,48.67525756169446,,,,,,,,,,
17,0.000139,29959,-3467.323916980334,7576.427676606743,,,-106.72916666549315,,,,,,,,,,
18,0.000147,65535,2271.853875419137,10890.847248902808,,,69.82991752864655,,,,,,,,,,
19,0.000156,64623,9269.799985967033,17340.288407354627,,,76.1420066234342,,,,,,,,,,
20,0.000164,1136,-23745.86392519152,23773.74482364136,,,-192.14779088767136,,,,,,,,,,
21,0.000172,65535,17019.130944249115,29799.599758375676,,,122.69759560027218,,,,,,,,,,
22,0.00018,65535,14903.969104960775,35370.311550301165,,,94.47913418678743,,,,,,,,,,
23,0.000188,1072,-39882.873025570814,40009.179472992815,,,-232.31177908635863,,,,,,,,,,
24,0.000197,65535,24501.533924283234,43809.75197367473,,,132.48622955237778,,,,,,,,,,
25,0.000205,65535,21141.685425999804,46840.13446870285,,,94.31917828975186,,,,,,,,,,
26,0.000213,1056,-48787.08739550941,48822.28764558364,,,-196.88930483373989,,,,,,,,,,
27,0.000221,65535,26050.204103400654,50019.52215595044,,,88.07479251168988,,,,,,,,,,
28,0.000229,65535,24856.968861021945,50668.87234902261,,,67.65493308593788,,,,,,,,,,
29,0.000238,1040,-50579.21902131641,50579.22606538507,,,-88.96139108246032,,,,,,,,,,
30,0.000246,65535,24940.416436836254,49941.41554369439,,,6.814594649052462,,,,,,,,,,
31,0.000254,65535,24319.0112377477,48937.017506594864,,,18.314799750248888,,,,,,,,,,
32,0.000262,1040,-47412.11250460598,47416.58567361553,,,48.885948515147454,,,,,,,,,,
33,0.00027,65535,24194.769120340257,45637.04817857425,,,-71.2287744054442,,,,,,,,,,
34,0.000278,63647,19397.035880549567,43825.78556814733,,,-34.179451709750715,,,,,,,,,,
35,0.000287,1024,-41601.21901837549,41835.04944355168,,,142.89280934648755,,,,,,,,,,
36,0.000295,65535,25270.912857974377,39852.244070055225,,,-93.8237859781909,,,,,,,,,,
37,0.000303,48475,10877.309026507684,38010.23269609902,,,-57.640326148539806,,,,,,,,,,
38,0.000311,1024,-34367.817716976504,36172.691103524616,,,104.39641391970778,,,,,,,,,,
39,0.000319,65535,27989.408725033245,34600.429484550456,,,-9.617818298745728,,,,,,,,,,
40,0.000328,34872,-265.37796715308605,33429.094872655136,,,-11.454143153895735,,,,,,,,,,
41,0.000336,1024,-25777.83043660386,32562.06854088207,,,-151.29230563789008,,,,,,,,,,
42,0.000344,65535,31230.95583193123,32242.1657911559,,,215.2821915051569,,,,,,,,,,
43,0.000352,20228,-13044.110895873408,32445.815902061004,,,151.7526683350569,,,,,,,,,,
44,0.00036,12098,-15569.78818084885,33035.909953445575,,,-685.6989919093145,,,,,,,,,,
45,0.000369,65535,33664.77368343671,34165.810290823574,,,579.1809732019643,,,,,,,,,,
46,0.000377,3360,-26095.03921008566,35651.05227777275,,,485.0737124058901,,,,,,,,,,
47,0.000385,28566,-4064.7117981154606,37337.827886916486,,,-1519.8619067290588,,,,,,,,,,
48,0.000393,65535,34057.37526990148,39253.69408035893,,,1032.277195132324,,,,,,,,,,
49,0.000401,1088,-37292.57100042943,41086.51047898415,,,1041.596501133646,,,,,,,,,,
50,0.00041,47131,7540.099777344945,42673.48344039351,,,-2621.784666122478,,,,,,,,,,
