Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
0,0.0,65535,-315.67558609385884,21269.70373562921,988.0,1165.0,-155.91389081157982,145.81830375,tall,12.0,13.0,-3.8140748342903534,-10.0,150.0,150.33296378372907,13.0,50.0
1,8e-06,1024,-37424.82629577111,40884.95044246443,,,247.62079789405735,,,,,,,,,,
2,1.6e-05,65535,35439.53030981023,46310.43292320103,,,-74.74475191586926,,,,,,,,,,
3,2.5e-05,27926,4200.626296262118,44458.50973963449,,,-222.86791684946903,,,,,,,,,,
4,3.3e-05,1600,-39342.80843496014,43900.58982103447,,,329.62980295217017,,,,,,,,,,
5,4.1e-05,65535,32163.4780376556,41468.35454735608,,,-99.31082811787772,,,,,,,,,,
6,4.9e-05,36152,9611.333094514675,39612.51025827885,,,-259.5686977072385,,,,,,,,,,
7,5.7e-05,960,-40261.23895029273,41250.90634359602,,,382.5986853815367,,,,,,,,,,
8,6.6e-05,65535,26529.50349331295,42029.51928093576,,,-128.19691119043608,,,,,,,,,,
9,7.4e-05,44922,14955.207159014184,39985.41935660084,,,-266.0300781318621,,,,,,,,,,
10,8.2e-05,1024,-37360.32363429255,37612.16284642029,,,413.3035533537957,,,,,,,,,,
11,9e-05,65535,18068.78633979484,34551.14460445804,,,-160.8467454407141,,,,,,,,,,
12,9.8e-05,53309,17173.761878045116,31035.096377945032,,,-254.1915018584825,,,,,,,,,,
13,0.000106,1024,-28337.871005456946,28532.545370954344,,,429.66024566250456,,,,,,,,,,
14,0.000115,65535,8773.132038746118,25242.475779414315,,,-189.69549250636504,,,,,,,,,,
15,0.000123,65535,12869.891917260986,19730.751569126576,,,-236.71527794002336,,,,,,,,,,
16,0.000131,1056,-13607.005132825594,13814.479806187292,,,433.0263978704079,,,,,,,,,,
17,0.000139,1056,2276.4718014077403,7825.172699088795,,,-205.79521155098308,,,,,,,,,,
18,0.000147,63439,994.9225822853084,1567.3412247955928,,,-218.88749926718955,,,,,,,,,,
19,0.000156,65535,3293.0301966639527,4233.052910130665,,,419.7483064912228,,,,,,,,,,
20,0.000164,32359,1329.5287305095942,9985.979039063172,,,-204.5221998763869,,,,,,,,,,
21,0.000172,1056,-15677.23033591908,16814.17938125635,,,-199.9923310979322,,,,,,,,,,
22,0.00018,65535,17639.243132549174,23283.966431641096,,,386.8809154681193,,,,,,,,,,
23,0.000188,64255,5550.30120768613,28571.32464765979,,,-185.1190803530068,,,,,,,,,,
24,0.000197,1056,-31684.159521035912,33289.90734619732,,,-179.41075536137123,,,,,,,,,,
25,0.000205,65535,26351.147486168356,36995.31217712362,,,334.48980453047943,,,,,,,,,,
26,0.000213,62847,11389.1110376282,39889.51928288109,,,-147.66444246903004,,,,,,,,,,
27,0.000221,1072,-41806.63632062099,42764.95696485938,,,-158.49497930296644,,,,,,,,,,
28,0.000229,65535,29454.084710957464,44672.46484213587,,,265.6944720092521,,,,,,,,,,
29,0.000237,59710,14285.164024752576,45020.31723388231,,,-95.72526819344957,,,,,,,,,,
30,0.000246,1040,-43538.24777506108,44559.93596546515,,,-138.32736490412165,,,,,,,,,,
31,0.000254,65535,29328.5554412876,43174.05816665654,,,191.7227554774096,,,,,,,,,,
32,0.000262,46523,11202.587544266476,41119.23210633242,,,-43.86776132866871,,,,,,,,,,
33,0.00027,1024,-37586.73961779963,39283.66788644363,,,-121.9210744313558,,,,,,,,,,
34,0.000278,65535,28766.04479724345,37141.36329797503,,,141.92055696560874,,,,,,,,,,
35,0.000287,29335,1850.5375440776827,34583.32858469172,,,-19.625680668597504,,,,,,,,,,
36,0.000295,5825,-26660.646382452185,32469.578773950136,,,-124.19188638859865,,,,,,,,,,
37,0.000303,65535,29373.96287178001,30657.8468790568,,,169.0803194897984,,,,,,,,,,
38,0.000311,14099,-11733.80618965476,29728.17673113272,,,-53.3760824838847,,,,,,,,,,
39,0.000319,19076,-13794.603388950982,30350.309473672856,,,-182.9155629456193,,,,,,,,,,
40,0.000328,65535,31108.006649030656,31802.43484824736,,,341.96615973448013,,,,,,,,,,
41,0.000336,1488,-26433.58404549122,34111.78497260145,,,-159.77624133723884,,,,,,,,,,
42,0.000344,32263,-1268.5061728894264,36952.57654060519,,,-361.5834832674192,,,,,,,,,,
