Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
0,0.0,65535,445.5136489296172,19359.2842189986,237.0,414.0,95.19447225275242,40.15286625,short,13.0,3.0,0.0,0.0,50.0,50.0,13.0,33.0
1,8e-06,65535,31351.606294918623,36528.81572558055,,,-383.1147656797788,,,,,,,,,,
2,1.6e-05,1072,-37819.66178404731,41918.891794002186,,,209.8156572172751,,,,,,,,,,
3,2.5e-05,65535,12072.787422847065,42794.84687354515,,,231.42947274835427,,,,,,,,,,
4,3.3e-05,65535,25702.32143462708,43988.79188600553,,,-417.3740891572269,,,,,,,,,,
5,4.1e-05,1088,-41451.10641036504,41517.25311339878,,,126.22345257876088,,,,,,,,,,
6,4.9e-05,65535,18791.75752125477,39390.737444080696,,,309.1054580541628,,,,,,,,,,
7,5.7e-05,65535,21188.28690279752,39705.62276633969,,,-399.4257511584392,,,,,,,,,,
8,6.6e-05,1040,-39067.45151308261,39110.74835715982,,,52.44186521943901,,,,,,,,,,
9,7.4e-05,65535,18941.100908414825,37326.3819900208,,,343.51501751903686,,,,,,,,,,
10,8.2e-05,65535,15200.588168074706,34407.98526814595,,,-360.08321223584284,,,,,,,,,,
11,9e-05,1056,-28751.04796226942,28918.704581987466,,,-11.24369704529562,,,,,,,,,,
12,9.8e-05,65535,14774.54555863884,23034.09166726761,,,362.998837455209,,,,,,,,,,
13,0.000107,65535,5111.732811126675,18227.59304995941,,,-315.1935713953388,,,,,,,,,,
14,0.000115,6113,-12478.21843888269,13553.757272539757,,,-76.59704602939152,,,,,,,,,,
15,0.000123,1056,10650.649769073449,10838.617464655174,,,381.3657046451088,,,,,,,,,,
16,0.000131,8914,-9208.076953299682,11645.77102603633,,,-262.75935206169294,,,,,,,,,,
17,0.000139,65535,4750.475198617857,15264.946735355854,,,-147.1757476419411,,,,,,,,,,
18,0.000147,65535,10018.865810423513,20517.073104507457,,,391.0809650763612,,,,,,,,,,
19,0.000156,1072,-24931.106621349696,25048.051596936013,,,-198.35162519583892,,,,,,,,,,
20,0.000164,65535,17834.476437722526,29368.796023178103,,,-210.94950756313105,,,,,,,,,,
21,0.000172,65535,13463.603085157258,34083.67668686375,,,379.521868420101,,,,,,,,,,
22,0.00018,1056,-38117.20711741172,38300.576604656526,,,-129.1012505273382,,,,,,,,,,
23,0.000188,65535,24327.86690028165,41951.53298211646,,,-253.03078179541052,,,,,,,,,,
24,0.000197,65535,19007.65687478332,44831.24593557433,,,350.567001630395,,,,,,,,,,
25,0.000205,1056,-46178.09555534456,46272.84341598128,,,-71.92742291891726,,,,,,,,,,
26,0.000213,65535,25157.468875593346,47170.53132218724,,,-276.0904549516726,,,,,,,,,,
27,0.000221,65535,23891.828988770736,48278.90490326778,,,330.32551655731334,,,,,,,,,,
28,0.000229,1072,-49004.583531558026,49017.26193326678,,,-37.27234417301381,,,,,,,,,,
29,0.000238,65535,23289.27789398929,49337.31226144899,,,-307.6009112120927,,,,,,,,,,
30,0.000246,65535,26153.928395534906,49241.55076340957,,,347.9620866977549,,,,,,,,,,
31,0.000254,1072,-48238.43530623674,48283.34305326829,,,-13.024430658699892,,,,,,,,,,
32,0.000262,65535,21713.25510013653,47149.74911851654,,,-380.0924664576058,,,,,,,,,,
33,0.00027,65535,25051.555545873394,46456.44693585086,,,401.24969111755627,,,,,,,,,,
34,0.000279,1088,-45638.19987729615,45670.80404059564,,,33.1171287928007,,,,,,,,,,
35,0.000287,65535,22089.74464178257,44736.74385065697,,,-488.4022701694408,,,,,,,,,,
36,0.000295,65375,20560.96620831172,43655.315568064805,,,431.8163408788553,,,,,,,,,,
37,0.000303,1088,-41857.60263364158,41982.83779630076,,,123.11076101790836,,,,,,,,,,
38,0.000311,65535,24526.52642064017,40261.49114964888,,,-548.4499780200499,,,,,,,,,,
39,0.00032,54909,12780.73235002593,38935.85099661647,,,337.4470396120899,,,,,,,,,,
40,0.000328,1056,-36348.34540823758,37611.36486525873,,,220.253116206975,,,,,,,,,,
41,0.000336,65535,28131.33940868584,36456.56742789283,,,-393.114407534463,,,,,,,,,,
42,0.000344,39865,1870.5244856125016,35419.7755434556,,,29.78405959198164,,,,,,,,,,
43,0.000352,1024,-28215.700920555355,34144.30506266309,,,195.49143770453145,,,,,,,,,,
44,0.000361,65535,31684.73039072892,33244.36624505869,,,172.55544484708955,,,,,,,,,,
45,0.000369,23013,-11446.260893805736,32945.82642094652,,,-489.0887198641688,,,,,,,,,,
46,0.000377,8770,-17291.218519615068,33150.5036918189,,,-155.89412672633838,,,,,,,,,,
47,0.000385,65535,33976.39927205016,34235.68621825813,,,1272.852467167702,,,,,,,,,,
48,0.000393,4113,-25302.93457249914,35751.59602633883,,,-1081.626729544981,,,,,,,,,,
49,0.000401,27366,-4662.081280102757,37272.67352076171,,,-1039.5219338832933,,,,,,,,,,
50,0.00041,65535,33777.1799090715,38918.5289472132,,,2871.97952294998,,,,,,,,,,
51,0.000418,1088,-36659.25281687791,40278.49497835645,,,-1498.3696443762522,,,,,,,,,,
52,0.000426,48027,7674.826933243543,41361.94458079806,,,-2561.9777200297062,,,,,,,,,,
53,0.000434,65535,29784.98294839929,42381.4872789029,,,4745.966740231608,,,,,,,,,,
54,0.000442,1088,-42145.84411796816,42825.1472769562,,,-1464.758185305464,,,,,,,,,,
55,0.000451,65535,17757.968984873703,42544.34924442613,,,-4655.081124732991,,,,,,,,,,
56,0.000459,65535,20944.549950914305,41579.63648694103,,,6532.015309825695,,,,,,,,,,
57,0.000467,1072,-39518.06488996951,39672.24869822661,,,-792.9458116820998,,,,,,,,,,
58,0.000475,65535,24513.940683519024,37258.78701039727,,,-7056.500963721597,,,,,,,,,,
59,0.000483,64351,7216.082501152704,34793.965344012475,,,7834.791190381054,,,,,,,,,,
60,0.000492,1056,-28918.56944571873,32291.16816903473,,,524.1557949100213,,,,,,,,,,
