,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,24517,-393.4106281939062,20450.429682075348,797.0,1020.0,-20.328543912385317,121.86747125000001,17,9,40.0,110.0,117.04699910719626,19.98310652189998,short,13.0,50.0
1,8e-06,1024,-37168.769416504234,39831.89649932161,,,-112.91720635559956,,,,,,,,,,
2,1.6e-05,65535,31804.166175173646,45462.696033637716,,,53.090227089085545,,,,,,,,,,
3,2.5e-05,65535,10630.093833438072,43547.701584016395,,,103.4576040885511,,,,,,,,,,
4,3.3e-05,1024,-41866.795676566486,43369.772583392405,,,-113.62305242705057,,,,,,,,,,
5,4.1e-05,65535,25805.78312978816,42443.89982820488,,,-47.724181399812004,,,,,,,,,,
6,4.9e-05,63999,20109.734928591664,41841.550878499715,,,155.04005068029443,,,,,,,,,,
7,5.7e-05,1024,-44178.100100087526,44200.90364793078,,,-59.79108411216241,,,,,,,,,,
8,6.6e-05,65535,19282.818436430487,45660.44155347072,,,-106.58610992024252,,,,,,,,,,
9,7.4e-05,65535,26191.71458899571,43943.190668607014,,,127.25759287351782,,,,,,,,,,
10,8.2e-05,1040,-41535.13027293812,41945.91805144789,,,6.51327289073139,,,,,,,,,,
11,9e-05,65535,12004.257384142986,39688.50123684056,,,-105.37229296648218,,,,,,,,,,
12,9.8e-05,65535,26558.791145333318,36622.44441258473,,,49.106456266181596,,,,,,,,,,
13,0.000107,1056,-32347.3738340488,34069.65583680901,,,65.00335963100494,,,,,,,,,,
14,0.000115,65535,5246.674169000815,30664.432196624337,,,-68.03365023502856,,,,,,,,,,
15,0.000123,65535,19388.10142144812,24931.40934387453,,,-54.23264348298093,,,,,,,,,,
16,0.000131,1104,-17569.40004281684,18767.250137604333,,,136.86770719091436,,,,,,,,,,
17,0.000139,37577,1599.354639233528,12669.02305395255,,,-32.430805902492466,,,,,,,,,,
18,0.000148,65535,4830.113994082449,6109.584719805524,,,-191.10300158115675,,,,,,,,,,
19,0.000156,65535,-837.1433161579414,1807.5897938021221,,,270.4249183945097,,,,,,,,,,
20,0.000164,15619,3276.052520064188,7026.984050446481,,,-14.417667263782764,,,,,,,,,,
21,0.000172,1040,-14201.299893660074,14348.274509985173,,,-405.54742741920825,,,,,,,,,,
22,0.00018,65535,13300.57986461955,21506.394628834256,,,503.24904673469837,,,,,,,,,,
23,0.000189,65535,10170.16667701033,27527.07528467919,,,15.891570967733792,,,,,,,,,,
24,0.000197,1024,-32907.02668299282,33196.38065626705,,,-748.967787110474,,,,,,,,,,
25,0.000205,65535,21941.221488384774,38181.84242353346,,,819.0306359276038,,,,,,,,,,
26,0.000213,65535,19329.10837753548,42449.92438250185,,,128.26446986140056,,,,,,,,,,
27,0.000221,1024,-46723.94954493632,46739.90433052768,,,-1230.7251256518084,,,,,,,,,,
28,0.000229,65535,25237.49259399015,50174.149171820536,,,1128.6689762261835,,,,,,,,,,
29,0.000238,65535,26312.59175900884,52041.3730017903,,,388.995050866124,,,,,,,,,,
30,0.000246,1040,-53128.20655416934,53131.024054678346,,,-1779.6617756263113,,,,,,,,,,
31,0.000254,65535,25726.04623340696,53391.90833314061,,,1302.8018452824056,,,,,,,,,,
32,0.000262,65535,27355.71845242367,52782.40879315639,,,803.8861764718117,,,,,,,,,,
33,0.00027,1040,-52033.82523246669,52034.25536299797,,,-2257.6004780675626,,,,,,,,,,
34,0.000279,65535,26338.21299470935,50624.63007055302,,,1244.5821722232133,,,,,,,,,,
35,0.000287,65535,20989.982099563596,48145.91800012222,,,1297.7569904468721,,,,,,,,,,
36,0.000295,1024,-45001.40764375587,45442.41908481387,,,-2528.854003118133,,,,,,,,,,
37,0.000303,65535,28529.316093612324,42519.191295311226,,,946.448109741562,,,,,,,,,,
38,0.000311,60286,8526.097854985173,39578.84724968154,,,1755.4544330274277,,,,,,,,,,
39,0.00032,1024,-34141.072542559545,37463.46352072065,,,-2532.587222420611,,,,,,,,,,
40,0.000328,65535,31498.203849428435,35711.76423307621,,,483.53712336100506,,,,,,,,,,
41,0.000336,36056,-6505.790478422797,34241.94835990083,,,2087.5707625996642,,,,,,,,,,
42,0.000344,960,-21369.663096698125,33451.07944735904,,,-2298.07009867627,,,,,,,,,,
43,0.000352,65535,32683.88529381069,32688.921713017997,,,-40.73429680317362,,,,,,,,,,
44,0.000361,11810,-19614.086107615203,32156.559979471054,,,2260.1839850555525,,,,,,,,,,
45,0.000369,11394,-8169.160579921068,32016.076288464763,,,-1901.7596984206145,,,,,,,,,,
46,0.000377,65535,29166.70456396343,31558.546774233273,,,-539.2243750114617,,,,,,,,,,
47,0.000385,1040,-26897.071422801204,30950.871355970034,,,2273.4473363442635,,,,,,,,,,
48,0.000393,39961,4305.357286802878,30010.863331191555,,,-1419.14629516981,,,,,,,,,,
49,0.000402,65535,19320.815667295894,28276.008534785426,,,-944.9917362522177,,,,,,,,,,
50,0.00041,1040,-26380.544698284855,26420.630552164646,,,2129.1432763171974,,,,,,,,,,
51,0.000418,65535,14958.167867659922,24605.907281857646,,,-912.1559070283208,,,,,,,,,,
52,0.000426,65119,3975.8933851182787,23023.756991344253,,,-1195.9941304514552,,,,,,,,,,
53,0.000434,1024,-18580.89036434248,22530.44905606811,,,1825.7778371923673,,,,,,,,,,
54,0.000443,65535,22495.14927507999,22905.5466939997,,,-443.79630351823715,,,,,,,,,,
55,0.000451,1024,-13541.418629753254,24205.64522899694,,,-1231.794203125899,,,,,,,,,,
56,0.000459,47995,-5969.373374141287,26410.367503473048,,,1377.9040436395421,,,,,,,,,,
57,0.000467,65535,25415.464625918416,28705.450755084647,,,-92.38737328091766,,,,,,,,,,
58,0.000475,1040,-28700.153918767817,31186.238363251883,,,-1004.501199099433,,,,,,,,,,
59,0.000484,65535,8368.862267431654,33693.06632164769,,,836.0437416133518,,,,,,,,,,
60,0.000492,65535,22520.416862366834,35827.91477906311,,,44.11496977789615,,,,,,,,,,
61,0.0005,1056,-37848.703935516765,37882.012750394286,,,-491.17713063236977,,,,,,,,,,
62,0.000508,65535,21978.449971193546,39566.999165405905,,,298.0815386916937,,,,,,,,,,
63,0.000516,56477,13859.59313199289,40640.46710470432,,,-148.08669680044125,,,,,,,,,,
64,0.000525,1024,-39869.947597848215,41555.449791169034,,,291.7565946520972,,,,,,,,,,
65,0.000533,65535,33378.775988038615,42234.03646424821,,,-87.41127725295735,,,,,,,,,,
66,0.000541,31447,1448.1173959234707,42806.97139940836,,,-777.6922419961802,,,,,,,,,,
67,0.000549,1024,-36342.99261946643,43694.43705304102,,,1266.623859819457,,,,,,,,,,
68,0.000557,65535,41557.2587530846,44524.16534091093,,,-137.26006843430278,,,,,,,,,,
69,0.000566,10770,-11026.087865716343,45175.43132638675,,,-1901.5122066195454,,,,,,,,,,
70,0.000574,1024,-30186.81576010962,45738.232163956025,,,2278.831251188245,,,,,,,,,,
71,0.000582,65535,45398.77690674838,45800.17718430017,,,317.93436080724666,,,,,,,,,,
72,0.00059,1088,-19633.90002998131,45472.81041171109,,,-3469.030359750556,,,,,,,,,,
73,0.000598,1024,-23809.280929758886,44932.411865374845,,,3111.3779547475515,,,,,,,,,,
74,0.000607,65535,43777.16940480647,43777.31398072961,,,1365.1736531201664,,,,,,,,,,
75,0.000615,1072,-22026.4637677076,42002.854068693654,,,-5292.956570914617,,,,,,,,,,
76,0.000623,1152,-17999.121530200733,39636.35723713124,,,3534.1819442550536,,,,,,,,,,
77,0.000631,65535,36324.800148342496,36407.70638356379,,,2952.303017849762,,,,,,,,,,
78,0.000639,1056,-18542.52826428512,32646.139164469034,,,-7066.32087361746,,,,,,,,,,
79,0.000647,1344,-12123.33855455248,28673.74344919381,,,3371.3498915867353,,,,,,,,,,
80,0.000656,43578,24223.569352418763,24331.967281098045,,,4867.497110287172,,,,,,,,,,
81,0.000664,1056,-11928.04035682151,19816.078131008744,,,-8425.3083282056,,,,,,,,,,
82,0.000672,1728,-5235.950739325684,15290.328186170509,,,2567.7382879997085,,,,,,,,,,
83,0.00068,1024,10270.243129566828,10681.855494715579,,,6765.423491669566,,,,,,,,,,
84,0.000688,1008,-5873.840738618658,6671.928297035698,,,-9048.45085381081,,,,,,,,,,
85,0.000697,5121,2834.8563008419424,4524.883357589822,,,1235.0702769329966,,,,,,,,,,
86,0.000705,1024,-1999.2959852540635,5578.1983210634935,,,8246.280201752394,,,,,,,,,,
