,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,grid_x,grid_y,real_x,real_y,grid_distance,angle,type,sensor_position,sensor_height
0,0.0,25094,-816.9828551512834,2073.532618345319,694.0,916.0,-391.3074428267463,107.637859,15,8,20.0,100.0,101.9803902718557,11.309932474020215,short,13.0,50.0
1,8e-06,37081,7061.508819887744,8462.511009183589,,,280.5081683012689,,,,,,,,,,
2,1.6e-05,65535,5970.817147441414,16079.152028068502,,,71.51654384784597,,,,,,,,,,
3,2.5e-05,992,-22418.47403188749,22418.655147518573,,,-413.9471847849308,,,,,,,,,,
4,3.3e-05,65535,12460.933093743537,28119.55280336336,,,397.0338761557421,,,,,,,,,,
5,4.1e-05,65535,20232.204353348025,33195.84646289515,,,31.42589142433152,,,,,,,,,,
6,4.9e-05,1008,-35743.19653702639,36524.70897260719,,,-443.20441441698324,,,,,,,,,,
7,5.7e-05,63519,9699.30470476963,38687.369898293364,,,366.83666472088504,,,,,,,,,,
8,6.6e-05,65535,30411.340036522328,40183.91415589388,,,107.21432022592043,,,,,,,,,,
9,7.4e-05,1024,-37085.27520125017,40278.47804139972,,,-396.4675305365422,,,,,,,,,,
10,8.2e-05,50220,2696.370858562632,39038.39586034836,,,170.65861869344627,,,,,,,,,,
11,9e-05,65535,31643.481240087793,36915.52741416993,,,215.78987909892652,,,,,,,,,,
12,9.8e-05,1040,-28492.410458468894,33676.647197367725,,,-224.93586624943995,,,,,,,,,,
13,0.000107,36072,-2467.497516531908,29619.453998115336,,,-112.92206339858015,,,,,,,,,,
14,0.000115,65535,23203.736651833286,25301.429306708564,,,260.0599583642499,,,,,,,,,,
15,0.000123,21717,-16390.86478129335,20537.47686157016,,,37.6911371147788,,,,,,,,,,
16,0.000131,1008,-1052.681844869516,15498.660513050216,,,-361.9280842107811,,,,,,,,,,
17,0.000139,65535,8807.073068823012,10963.51270605733,,,203.0562241932171,,,,,,,,,,
18,0.000148,65535,-7800.635005365957,7804.116561844908,,,298.0832331682519,,,,,,,,,,
19,0.000156,65535,7675.313342352978,8221.065991635372,,,-494.0567420966023,,,,,,,,,,
20,0.000164,1024,-5696.668679252907,11700.455290491416,,,82.96152469998427,,,,,,,,,,
21,0.000172,37897,-6296.431677502832,16013.298274369618,,,471.8883100797099,,,,,,,,,,
22,0.00018,65535,20324.810722909224,20604.686601203844,,,-506.34625356612213,,,,,,,,,,
23,0.000188,16948,-15896.885190925297,24950.046479634348,,,-31.443630417915628,,,,,,,,,,
24,0.000197,7681,-10282.852866879584,28766.466340454925,,,531.8050963344116,,,,,,,,,,
25,0.000205,65535,31830.634598302106,32165.2586076713,,,-451.1758848384395,,,,,,,,,,
26,0.000213,20805,-21192.221024216164,34976.18077201264,,,-91.16492411813977,,,,,,,,,,
27,0.000221,5697,-14651.471168151418,37126.8119503398,,,503.47909620807314,,,,,,,,,,
28,0.000229,65535,38527.305694978844,38803.8127068875,,,-388.91436752724877,,,,,,,,,,
29,0.000238,15171,-24281.1755723725,39879.39478025561,,,-85.3287137170488,,,,,,,,,,
30,0.000246,11426,-14385.466220741282,40322.62988513892,,,435.03256762983267,,,,,,,,,,
31,0.000254,65535,39598.74710562297,40426.62559146135,,,-355.92484754985196,,,,,,,,,,
32,0.000262,1872,-28408.52476360804,40249.45430187396,,,-37.86299132237889,,,,,,,,,,
33,0.00027,26118,-7498.287558075258,39945.75450427281,,,371.05979540540926,,,,,,,,,,
34,0.000279,65535,36315.92927606679,39854.246570405165,,,-347.8457102856416,,,,,,,,,,
35,0.000287,1072,-34601.57284801277,39953.54280984475,,,1.1711167287293416,,,,,,,,,,
36,0.000295,46171,4324.118796526622,40279.083427481324,,,330.0040298861097,,,,,,,,,,
37,0.000303,65535,30248.434796463975,40931.764112373654,,,-313.69575030966416,,,,,,,,,,
38,0.000311,1088,-40794.820083060884,41669.182140720055,,,-19.949537656244253,,,,,,,,,,
39,0.00032,65535,17172.30642541028,42397.74482366256,,,283.5545168115375,,,,,,,,,,
40,0.000328,65535,22079.39164903956,43044.5872858821,,,-180.3310703781389,,,,,,,,,,
41,0.000336,1040,-43184.28604892866,43293.15235388765,,,-111.39059476727972,,,,,,,,,,
42,0.000344,65535,27072.775984048938,43064.47391460266,,,165.14808886814737,,,,,,,,,,
43,0.000352,65535,11819.653233390107,42305.15223456021,,,86.92150554892156,,,,,,,,,,
44,0.000361,1024,-38688.77392813556,40852.44839598146,,,-217.51235043171974,,,,,,,,,,
45,0.000369,65535,31478.490077654824,38845.67654003483,,,-75.83904431159779,,,,,,,,,,
46,0.000377,58462,-21.135501130359696,36405.21811814324,,,433.4668210507553,,,,,,,,,,
47,0.000385,1008,-26866.786377989152,33563.127822652204,,,-249.36457862951227,,,,,,,,,,
48,0.000393,65535,29555.21039234632,30606.016651195987,,,-413.9684248748151,,,,,,,,,,
49,0.000402,20164,-11499.526410872239,27714.931512999185,,,730.6237325689309,,,,,,,,,,
50,0.00041,8290,-10195.174732044723,25051.175826236027,,,-152.2290737703551,,,,,,,,,,
51,0.000418,65535,21684.032817961826,22991.455796415103,,,-743.1888659563349,,,,,,,,,,
52,0.000426,1104,-19507.972585705276,21662.78011143123,,,850.5233042984435,,,,,,,,,,
53,0.000434,65535,7219.498037137878,21165.36298750192,,,54.190927363339334,,,,,,,,,,
