,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y
0,0.0,1024,287.96667274346385,18713.00784618152,614.0,792.0,260.9274498017134,91.294938,"short 20cm, sensor 30 cm",12,8,-5.710593137499643,-10.0,100.0
1,8e-06,11794,-34524.81441958854,36432.30693342133,,,-309.4058607492316,,,,,,,
2,1.6e-05,65535,27121.41061162534,41516.72875769031,,,50.49249763512851,,,,,,,
3,2.5e-05,65535,12801.07904849093,39203.281953052436,,,264.6043975263571,,,,,,,
4,3.3e-05,1056,-37799.10951295955,38344.283900268725,,,-314.75518123643184,,,,,,,
5,4.1e-05,63295,19474.684710080335,36910.62345680484,,,58.55673813255742,,,,,,,
6,4.9e-05,65535,19576.46200994097,35204.858016150916,,,230.56985177260842,,,,,,,
7,5.7e-05,1056,-35463.1580533468,35607.07299346272,,,-273.22551742909206,,,,,,,
8,6.6e-05,54541,14177.219258194207,34912.23678555709,,,65.59628284173839,,,,,,,
9,7.4e-05,65535,17403.854170218983,31198.8230370686,,,163.38933942695863,,,,,,,
10,8.2e-05,1056,-27438.18582038115,27439.0228705866,,,-212.93797115178566,,,,,,,
11,9e-05,45083,12841.60346445068,23443.69541697912,,,79.92079841038695,,,,,,,
12,9.8e-05,65535,6510.470475868154,19221.570614708995,,,91.50107903531615,,,,,,,
13,0.000107,1040,-15682.178103048429,17161.566456933837,,,-160.0740618178163,,,,,,,
14,0.000115,65535,15427.107954344407,16293.31122833624,,,88.45508005763612,,,,,,,
15,0.000123,1664,-9600.329175359691,17232.829020118825,,,46.64647506344132,,,,,,,
16,0.000131,48395,-3315.4114561732317,20583.214798143938,,,-121.03447212844594,,,,,,,
17,0.000139,65535,20289.658218734985,23827.02699292727,,,72.51198844594921,,,,,,,
18,0.000147,1056,-25829.03298675169,27618.24287165652,,,36.051089693439856,,,,,,,
19,0.000156,60958,6868.306848778371,31699.359985498882,,,-85.36578763306768,,,,,,,
20,0.000164,65535,25000.962777691297,35192.32588429307,,,37.52983917473171,,,,,,,
21,0.000172,1056,-37891.82148647962,38849.43347168067,,,32.201173064453755,,,,,,,
22,0.00018,58078,13559.883559842143,41895.16886827477,,,-50.78045652061855,,,,,,,
23,0.000188,65535,27629.011700797615,43445.1448886428,,,32.195840123199226,,,,,,,
24,0.000197,1056,-44108.268669942416,44546.61457737011,,,-7.180104565058556,,,,,,,
25,0.000205,54877,17091.925614021533,45262.5901942905,,,-52.61634437510765,,,,,,,
26,0.000213,65535,27696.846183145306,45443.650386065194,,,138.83885351846237,,,,,,,
27,0.000221,1072,-45593.3970478093,45908.725272048454,,,-99.81915325533058,,,,,,,
28,0.000229,55597,18720.54735522086,46131.30575725304,,,-175.98300167039284,,,,,,,
29,0.000238,65535,26162.66873942044,45558.53092753162,,,438.6436117997835,,,,,,,
30,0.000246,1056,-44944.989829578284,45054.015900831866,,,-205.52981605693302,,,,,,,
31,0.000254,65535,19710.16549962539,44641.9658223644,,,-541.4128237879032,,,,,,,
32,0.000262,65535,24446.1619008583,44232.743349491895,,,972.5838301041317,,,,,,,
33,0.00027,1056,-44399.53751740385,44454.55116979177,,,-219.97263172345993,,,,,,,
34,0.000279,65535,20824.849933730453,44760.90047151621,,,-1270.7926656093794,,,,,,,
35,0.000287,65535,23190.329340531443,44606.809175276874,,,1719.9917710334698,,,,,,,
36,0.000295,1072,-44567.52030268411,44568.044102613174,,,-0.8867112159338985,,,,,,,
37,0.000303,65535,22351.139545342015,44508.49507206298,,,-2448.98580668326,,,,,,,
38,0.000311,65535,21603.008552578525,44283.21901755907,,,2604.4458919556923,,,,,,,
39,0.00032,1072,-44323.9567797213,44351.94493196613,,,585.081935434896,,,,,,,
40,0.000328,65535,24362.05756156212,44167.735993040646,,,-4095.760823537084,,,,,,,
41,0.000336,65535,17814.315397340422,43275.75382622364,,,3519.469160562289,,,,,,,
42,0.000344,1072,-41704.42461290693,42166.07282549624,,,1616.6683998976437,,,,,,,
43,0.000352,65535,26860.838975536,40694.700507233814,,,-6153.318078071023,,,,,,,
44,0.000361,53869,10052.611683163317,38912.85788189762,,,4354.937603592541,,,,,,,
45,0.000369,1056,-35181.43865480187,37416.868094456106,,,3090.511317048126,,,,,,,
46,0.000377,65535,29652.310257245164,35870.903986856116,,,-8483.779533534236,,,,,,,
47,0.000385,35544,-2020.1468729017743,34273.41602858825,,,5009.248110455739,,,,,,,
48,0.000393,992,-24620.536914453245,33198.2072825363,,,4914.330074451637,,,,,,,
49,0.000402,65535,32055.91964356698,32438.166636353188,,,-10870.410144442902,,,,,,,
50,0.00041,15123,-16558.90315962061,32339.61260522017,,,5388.907333001932,,,,,,,
51,0.000418,14755,-11461.146667665313,33205.48916412209,,,6914.145794392431,,,,,,,
52,0.000426,65535,32727.650009610254,34426.90838713321,,,-13026.73869101322,,,,,,,
53,0.000434,1088,-29845.649296942087,35987.42261736495,,,5408.317175108308,,,,,,,
54,0.000442,37097,1923.524111463382,37560.47582195541,,,8852.173132963357,,,,,,,
55,0.000451,65535,29855.928888995426,38485.73636891236,,,-14623.488084566417,,,,,,,
56,0.000459,1040,-37647.00334218024,38991.62345176438,,,4998.418317095427,,,,,,,
57,0.000467,63135,13307.353673256204,38978.354481553964,,,10455.580951830336,,,,,,,
58,0.000475,65535,21853.434404643504,38214.43452779157,,,-15335.127856346186,,,,,,,
59,0.000483,1072,-37067.66464204093,37072.72388868798,,,4124.108095133369,,,,,,,
60,0.000492,65535,21481.00021462278,35374.697603030574,,,11451.697846420004,,,,,,,
61,0.0005,65199,8372.92203230334,33076.1810659403,,,-14896.861467263068,,,,,,,
62,0.000508,1072,-27967.267831753074,30846.51889164066,,,2807.2321901871383,,,,,,,
63,0.000516,65535,26360.89225765064,28873.35624655542,,,11601.497569826652,,,,,,,
64,0.000524,20196,-8892.745566883226,27687.815825509784,,,-13160.503529234426,,,,,,,
65,0.000533,19044,-13084.291133069057,27934.389848673003,,,1149.538631189894,,,,,,,
66,0.000541,65535,28331.1935564848,29286.681758193612,,,10729.023030317228,,,,,,,
67,0.000549,1072,-26304.234844918632,31673.561372948665,,,-10139.77306739378,,,,,,,
68,0.000557,65535,3295.1067752089334,34669.0192000832,,,-657.3436074711699,,,,,,,
69,0.000565,65535,27443.285385001076,37522.37834714386,,,8751.701284814193,,,,,,,
70,0.000574,1040,-39517.11151916817,40227.97773747218,,,-6033.515973481865,,,,,,,
71,0.000582,65535,17335.02329286836,42536.26006616778,,,-2351.105912478212,,,,,,,
72,0.00059,65535,23211.519913505723,44173.623235086234,,,5712.204931074832,,,,,,,
73,0.000598,1072,-45306.64842476312,45345.91715885251,,,-1214.2782892713676,,,,,,,
74,0.000606,65535,27095.4290353551,45796.69392759936,,,-3650.4626686162965,,,,,,,
75,0.000615,63359,15177.036191752655,45359.2202836688,,,1801.4362068493429,,,,,,,
76,0.000623,1056,-42903.905720374,44404.56544533753,,,3819.5187509199213,,,,,,,
77,0.000631,65535,32690.856393909846,42954.77187310357,,,-4322.918108866901,,,,,,,
78,0.000639,37657,3709.003059510899,41220.36308675668,,,-2638.6972212606743,,,,,,,
79,0.000647,960,-34078.666176723316,39693.9135651518,,,8515.058670328313,,,,,,,
80,0.000656,65535,35381.68584168473,38301.1164448484,,,-4247.826407532552,,,,,,,
81,0.000664,15699,-9656.54282324084,37176.686077315884,,,-7136.921533752404,,,,,,,
