,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y
0,0.0,1120,434.6577361511203,23423.06151341115,315.0,493.0,-36.11956475090165,51.282959000000005,"short 20cm, sensor 30 cm",11,3,-21.80140948635181,-20.0,50.0
1,8e-06,65535,38245.380384296746,44109.490778418905,,,-746.0393913385918,,,,,,,
2,1.6e-05,1088,-44524.68433096296,50055.11382014171,,,758.1148627793681,,,,,,,
3,2.5e-05,65535,12671.18401348467,49998.23176703706,,,55.18637808274866,,,,,,,
4,3.3e-05,65535,30274.931982275233,50392.94378186632,,,-849.9017431621588,,,,,,,
5,4.1e-05,1072,-46443.3239234951,46536.79340321581,,,795.5308807566109,,,,,,,
6,4.9e-05,65535,21331.106986997074,43319.4896576302,,,60.82807794393504,,,,,,,
7,5.7e-05,65535,21475.370718971466,43316.99490507535,,,-867.0610041099577,,,,,,,
8,6.6e-05,1072,-42500.322443327124,42518.35094315748,,,832.7590743952334,,,,,,,
9,7.4e-05,65535,24908.92391982243,41004.47171974397,,,5.8138205021518505,,,,,,,
10,8.2e-05,65535,11039.823461243817,38753.49395163474,,,-836.7237391705647,,,,,,,
11,9e-05,1072,-31908.42940108564,33830.47763365125,,,857.2016207965279,,,,,,,
12,9.8e-05,65535,24386.386716986974,29025.209393156692,,,-49.87692030238789,,,,,,,
13,0.000106,65535,-1781.9037181133447,25629.80760203548,,,-788.8146659526342,,,,,,,
14,0.000115,1040,-16478.496486181495,22787.385165445437,,,829.2869979992421,,,,,,,
15,0.000123,65535,22296.88451126342,22300.69736050343,,,-52.98703425193086,,,,,,,
16,0.000131,1072,-16313.571705419849,23399.9697220934,,,-723.2479240169007,,,,,,,
17,0.000139,65535,-72.22909991517831,25109.382856869175,,,713.1692139692386,,,,,,,
18,0.000147,65535,20989.605752735195,28161.388011257666,,,4.667673077016885,,,,,,,
19,0.000156,1040,-30300.74455561094,30913.269391388094,,,-617.8005375850437,,,,,,,
20,0.000164,65535,13299.500489330792,33810.458443883304,,,513.9591329436088,,,,,,,
21,0.000172,65535,21362.17702100413,37669.22608955489,,,79.45696087773631,,,,,,,
22,0.00018,1056,-41100.29522466421,41162.32691053384,,,-459.3621252017689,,,,,,,
23,0.000188,65535,21394.875274075643,44079.04832307167,,,290.4412708075537,,,,,,,
24,0.000197,65535,22804.378522789208,46365.77700481179,,,108.68625569924666,,,,,,,
25,0.000205,1072,-47184.11812546796,47190.21367133031,,,-270.9577450985697,,,,,,,
26,0.000213,65535,24437.429216655353,47551.347113959535,,,126.90924060150257,,,,,,,
27,0.000221,65535,24019.87518899274,48329.17720889055,,,58.34531113284961,,,,,,,
28,0.000229,1088,-48770.18975375812,48771.82632408429,,,-108.4662185096647,,,,,,,
29,0.000238,65535,24412.671045756946,48844.30858984492,,,81.79583690729217,,,,,,,
30,0.000246,65535,23857.48851600934,48539.87937431169,,,-50.4984199432532,,,,,,,
31,0.000254,1088,-47258.97927451314,47263.398333995654,,,-28.742192933795994,,,,,,,
32,0.000262,65535,23712.37683364418,45844.90371221926,,,149.8018578835169,,,,,,,
33,0.00027,65535,21613.209358706787,44999.68241220139,,,-151.9204814865827,,,,,,,
34,0.000278,1088,-44075.158013288776,44098.43199835906,,,-54.56454426737528,,,,,,,
35,0.000287,65535,24015.504723669168,43128.613330568725,,,260.0438561007164,,,,,,,
36,0.000295,62847,16882.3919240026,42044.33962537044,,,-168.77281143824143,,,,,,,
37,0.000303,1088,-39782.94797749407,40275.65876633618,,,-159.2632008156492,,,,,,,
38,0.000311,65535,25858.126427959047,38504.581957757924,,,305.3382058577775,,,,,,,
39,0.000319,47195,9372.919639833513,37240.837917190336,,,-46.61622965481431,,,,,,,
40,0.000328,1056,-33986.65892844433,36034.133796413385,,,-275.67699214235125,,,,,,,
41,0.000336,65535,28820.966605646925,35132.00461203545,,,182.2561191125841,,,,,,,
42,0.000344,33272,-990.6306735910764,34408.815994023505,,,227.4985642262686,,,,,,,
43,0.000352,1024,-25954.832587088225,33396.67841432835,,,-319.6397271894332,,,,,,,
44,0.00036,65535,31967.246179140202,32802.90603475862,,,-177.40672337529884,,,,,,,
45,0.000369,18004,-13649.566878486285,32807.80365291481,,,624.5786970893461,,,,,,,
46,0.000377,12835,-15480.366646147815,33293.144536059066,,,-214.3336025173578,,,,,,,
47,0.000385,65535,34165.69313547204,34715.625873600395,,,-793.3387557763755,,,,,,,
48,0.000393,1584,-26970.935496103957,36519.00294251228,,,1085.778015192536,,,,,,,
49,0.000401,29991,-3387.594217488055,38242.67702936865,,,93.95689782232014,,,,,,,
50,0.00041,65535,34175.15444347619,40077.88837852264,,,-1639.9173082190036,,,,,,,
51,0.000418,1104,-38222.594594786795,41578.763749735735,,,1538.0295600256597,,,,,,,
52,0.000426,49308,8645.350214730735,42831.29935549805,,,629.985887881016,,,,,,,
53,0.000434,65535,30680.564226281418,44142.93783139695,,,-2656.838983575901,,,,,,,
54,0.000442,1104,-44252.06500117319,44923.196306724894,,,1907.1021269554158,,,,,,,
55,0.00045,65535,18808.714438072715,45007.42712989817,,,1387.96988874698,,,,,,,
56,0.000459,65535,22598.70188964778,44433.08911982524,,,-3758.2037171029656,,,,,,,
57,0.000467,1104,-42732.63021399172,42847.201236199304,,,2127.844125331854,,,,,,,
58,0.000475,65535,25906.93137876463,40712.20920059031,,,2327.6519594799265,,,,,,,
59,0.000483,65535,9765.113255775517,38487.695402548976,,,-4837.6728511800375,,,,,,,
