,param_classifier__C,param_classifier__degree,param_classifier__kernel,param_feature_selection__k,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1,3,linear,1,0.6165413533834586,0.6804511278195489,0.5939849624060151,0.5962264150943396,0.6415094339622641,0.6257426585331253,0.03226772915962095,22
1,1,3,linear,1,0.6466165413533834,0.5827067669172933,0.5827067669172933,0.5811320754716981,0.6452830188679245,0.6076890339055185,0.031247905243247224,44
2,1,3,poly,1,0.5939849624060151,0.6729323308270677,0.6090225563909775,0.6226415094339622,0.6226415094339622,0.624244573698397,0.026544269478611274,25
3,1,3,poly,1,0.5939849624060151,0.5827067669172933,0.6090225563909775,0.6226415094339622,0.6226415094339622,0.6061994609164421,0.015809822466822207,45
4,1,3,rbf,1,0.6203007518796992,0.6541353383458647,0.5939849624060151,0.6,0.6490566037735849,0.6234955312810329,0.024597912451539326,28
5,1,3,rbf,1,0.6541353383458647,0.6616541353383458,0.6691729323308271,0.6792452830188679,0.6641509433962264,0.6656717264860263,0.008343164273517778,1
6,1,3,sigmoid,1,0.38721804511278196,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.38480635551142006,0.017617441530885646,94
7,1,3,sigmoid,1,0.5714285714285714,0.3082706766917293,0.5601503759398496,0.5320754716981132,0.4037735849056604,0.4751397361327848,0.10264349682966373,80
8,1,5,linear,1,0.6165413533834586,0.6804511278195489,0.5939849624060151,0.5962264150943396,0.6415094339622641,0.6257426585331253,0.03226772915962095,22
9,1,5,linear,1,0.5827067669172933,0.5827067669172933,0.5827067669172933,0.5811320754716981,0.5849056603773585,0.5828316073201874,0.0012030677426125627,55
10,1,5,poly,1,0.5939849624060151,0.6691729323308271,0.6052631578947368,0.6226415094339622,0.6226415094339622,0.6227408142999007,0.025644994830612576,31
11,1,5,poly,1,0.5939849624060151,0.5827067669172933,0.5639097744360902,0.5924528301886792,0.4188679245283019,0.550384451695276,0.0666258453423558,61
12,1,5,rbf,1,0.6203007518796992,0.6541353383458647,0.5939849624060151,0.6,0.6490566037735849,0.6234955312810329,0.024597912451539326,28
13,1,5,rbf,1,0.6541353383458647,0.6616541353383458,0.6691729323308271,0.6792452830188679,0.6641509433962264,0.6656717264860263,0.008343164273517778,1
14,1,5,sigmoid,1,0.38721804511278196,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.38480635551142006,0.017617441530885646,94
